time,IDX_POS_X,IDX_POS_Y,IDX_POS_Z,IDX_VEL_X,IDX_VEL_Y,IDX_VEL_Z,IDX_QUAT_W,IDX_QUAT_X,IDX_QUAT_Y,IDX_QUAT_Z,IDX_OMEGA_X,IDX_OMEGA_Y,IDX_OMEGA_Z
3.300000000000001821e-01,1.045278057651632508e+00,2.383651742790064323e-07,2.203925722096307382e-01,2.325702301685247386e-01,-2.054764851728271654e-07,8.228568982780884999e-01,9.999920405121185407e-01,1.503180584825201088e-07,3.989851173498122107e-03,6.788612349655915318e-09,-5.539850455306802588e-06,-2.278409211130393852e-01,-3.608341265628931187e-07
3.350000000000001865e-01,1.046440908802475089e+00,2.373377918531422918e-07,2.245068567010211902e-01,2.329443557696650458e-01,-2.195691663450095349e-07,8.206904349444378299e-01,9.999941509181071719e-01,1.364687880648254444e-07,3.420252849613219116e-03,5.856169698217015457e-09,-5.311650924841157679e-06,-2.132780597305479475e-01,-3.107549941108098134e-07
3.400000000000001910e-01,1.047605630581323499e+00,2.362399460214172471e-07,2.286103088757433788e-01,2.332644077730768317e-01,-2.323374324348100730e-07,8.184273833722138791e-01,9.999958324324066394e-01,1.231901862417639221e-07,2.887060408597596183e-03,5.051939516091754166e-09,-5.079362027572639612e-06,-1.991471021968536925e-01,-2.675977651972951290e-07
3.450000000000001954e-01,1.048771952620188852e+00,2.350782588592431839e-07,2.327024457926044620e-01,2.335340372659417130e-01,-2.438410971008508668e-07,8.160729982197231225e-01,9.999971458709041583e-01,1.104924041707957673e-07,2.389194431895460234e-03,4.358275992034035981e-09,-4.844385258547842528e-06,-1.854737342839537784e-01,-2.304057338526925464e-07
3.500000000000001998e-01,1.049939622806518535e+00,2.338590533737389250e-07,2.367828107837030849e-01,2.337567565772088740e-01,-2.541401638897960213e-07,8.136323074670255284e-01,9.999981462015619105e-01,9.838210966851384380e-08,1.925511212605050728e-03,3.759964745904714581e-09,-4.608019240640711909e-06,-1.722795103282060702e-01,-1.983547539351073362e-07
3.550000000000002043e-01,1.051108406589404520e+00,2.325883525542899409e-07,2.408509723210382203e-01,2.339359372301708651e-01,-2.632945501590452176e-07,8.111101218193702556e-01,9.999988827662751323e-01,8.686273944263442532e-08,1.494813096568277681e-03,3.243887407060922536e-09,-4.371461628397807038e-06,-1.595820707574207020e-01,-1.707348448783684975e-07
3.600000000000002087e-01,1.052278086275555413e+00,2.312718798034947051e-07,2.449065229301350677e-01,2.340748085882019824e-01,-2.713638353611062962e-07,8.085110436417852764e-01,9.999993995471337938e-01,7.593474766238403310e-08,1.095858278189640062e-03,2.798732504664763348e-09,-4.135811393462060283e-06,-1.473953638320988357e-01,-1.469343488718530268e-07
3.650000000000002132e-01,1.053448460318496371e+00,2.299150606266891683e-07,2.489490781483439941e-01,2.341764571481911583e-01,-2.784070325964367110e-07,8.058394754639821578e-01,9.999997354663751059e-01,6.559584968613779027e-08,7.273700404868148253e-04,2.414746272594814597e-09,-3.902071452512242831e-06,-1.357298699028292588e-01,-1.264262860152464625e-07
3.700000000000002176e-01,1.054619342604237398e+00,2.285230254637069948e-07,2.529782755256639315e-01,2.342438264368376655e-01,-2.844823823594828229e-07,8.030996280907519713e-01,9.999999247103664723e-01,5.584125990687584158e-08,3.880454331525104439e-04,2.083517855533129399e-09,-3.671151591152008052e-06,-1.245928266100639614e-01,-1.087566029003008090e-07
3.750000000000002220e-01,1.055790561736421607e+00,2.271006135519095844e-07,2.569937736661176975e-01,2.342797174657390569e-01,-2.896471674183883209e-07,8.002955283492944050e-01,9.999999970690228723e-01,4.666392282849256247e-08,7.656338636458621754e-05,1.797794164531258354e-09,-3.443871645822579660e-06,-1.139884535786523378e-01,-9.353405221126902136e-08
